word,type_id
banyu,2
banyun,2
banzai,2
bao,2
bap,2
bapa,2
bapak,2
bapakisme,2
bapanda,2
bapang,2
bapet,1
baplang,1
baptis,2
bar,2
bara,2
baraat,2
barah,2
barai,2
barak,2
barakat,2
barakatuh,0
baran,2
barang,2
barangkali,5
barap,2
barat,2
barbar,1
barbarisme,2
barbel,2
barber,2
barbital,2
barbiton,2
barbiturat,2
barbur,4
bardi,2
barel,2
bareng,5
barep,2
baret,2
barga,2
bari,2
barid,2
barier,2
barik,2
barikade,2
baring,4
baringan,2
barion,2
baris,2
barisfer,2
barit,2
barita,2
bariton,2
barium,2
barjad,2
barkas,2
barkometer,2
barli,2
barograf,2
barogram,2
barok,2
barologi,2
barometer,2
barometri,2
baron,2
barongsai,2
baroskop,2
barotermograf,2
barso,2
barter,2
baru,1
barua,2
baruh,2
baruje,2
baruna,2
barunawati,2
barusan,5
barut,2
barzakh,2
barzanji,2
bas,2
basa,2
basah,1
basal,2
basalioma,2
basanit,2
basat,2
basau,1
basi,1
basil,2
basilari,1
basilika,2
basilus,2
basin,2
basir,1
basirah,2
basis,2
basit,2
baskara,2
basket,2
baskom,2
basmi,4
bastar,2
basuh,4
basung,2
basut,2
bata,2
batagor,2
batai,2
batako,2
batal,1
batalion,2
batang,2
batara,2
batari,2
batas,2
batekeng,4
batel,2
batela,2
baterai,2
bati,1
batih,2
batik,2
batil,2
batila,2
batimetri,2
batin,2
batiplankton,2
batis,2
batisfer,2
batok,2
batolit,2
baton,2
batu,2
batu bara,2
batuk,2
batun,2
batung,2
bau,2
baud,2
